Customer ID,recency,frequency,monetary,avg_order_value,is_high_value,churned,rolling_7d,rolling_30d,total_days,unique_months,unique_products,avg_basket_size,purchase_rate,days_as_customer,cluster,segment
12346,160,11,372.86,33.89636363636364,0,0,53.26571428571429,53.26571428571429,196,4,26,2.121212121212121,0.0558375634517766,357,4,At Risk
12347,35,1,611.53,611.53,0,0,611.53,611.53,0,1,40,12.725,1.0,35,3,New Customers
12348,69,1,222.16,222.16,0,0,222.16,222.16,0,1,20,18.65,1.0,69,3,New Customers
12349,39,3,2671.14,890.38,1,0,890.3800000000001,890.3800000000001,181,3,90,9.735294117647058,0.0164835164835164,220,3,New Customers
12351,6,1,300.93,300.93,0,1,300.93,300.93,0,1,21,12.428571428571429,1.0,6,3,New Customers
12352,7,2,343.8,171.9,0,0,171.9,171.9,16,1,18,10.444444444444445,0.1176470588235294,23,3,New Customers
12353,39,1,317.76,317.76,0,0,317.76,317.76,0,1,20,9.6,1.0,39,3,New Customers
12355,198,1,488.21,488.21,0,0,488.21,488.21,0,1,22,13.772727272727272,1.0,198,4,At Risk
12356,11,3,3562.25,1187.4166666666667,1,0,1187.4166666666667,1187.4166666666667,44,2,68,21.73809523809524,0.0666666666666666,56,3,New Customers
12357,19,2,12079.99,6039.995,1,0,12079.99,12079.99,0,1,165,23.509090909090908,2.0,20,3,New Customers
12358,6,3,2719.01,906.3366666666668,1,0,906.3366666666668,906.3366666666668,356,3,52,14.327586206896552,0.0084033613445378,363,3,New Customers
12359,56,6,2563.36,427.2266666666667,1,0,427.2266666666667,427.2266666666667,308,4,110,9.658119658119658,0.0194174757281553,365,3,New Customers
12360,10,5,1590.83,318.166,0,0,318.166,318.166,276,4,74,14.704545454545457,0.0180505415162454,287,3,New Customers
12361,93,3,321.35,107.11666666666667,0,0,107.11666666666667,107.11666666666667,220,3,14,7.578947368421052,0.0135746606334841,313,3,New Customers
12362,370,1,130.0,130.0,0,0,130.0,130.0,0,1,1,1.0,1.0,370,4,At Risk
