ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2009-12-01,21095.7922571448,38131.285091257945,67226.58945456495,21095.7922571448,21095.7922571448,1.4958481950275657,1.4958481950275657,1.4958481950275657,0.341791897452788,0.341791897452788,0.341791897452788,1.154056297574778,1.154056297574778,1.154056297574778,0.0,0.0,0.0,52651.895027671344
2009-12-02,21104.633966138983,34667.729452425534,63752.609375494205,21104.633966138983,21104.633966138983,1.3628740451566508,1.3628740451566508,1.3628740451566508,0.21484176143434172,0.21484176143434172,0.21484176143434172,1.148032283722309,1.148032283722309,1.148032283722309,0.0,0.0,0.0,49867.591831121266
2009-12-03,21113.47567513317,42004.93937385678,69532.26732055479,21113.47567513317,21113.47567513317,1.658484431160834,1.658484431160834,1.658484431160834,0.5272453150009737,0.5272453150009737,0.5272453150009737,1.1312391161598603,1.1312391161598603,1.1312391161598603,0.0,0.0,0.0,56129.8463700345
2009-12-04,21122.317384127356,31412.609306475653,59572.19585673286,21122.317384127356,21122.317384127356,1.1442079073220373,1.1442079073220373,1.1442079073220373,0.04094800281733249,0.04094800281733249,0.04094800281733249,1.103259904504705,1.103259904504705,1.103259904504705,0.0,0.0,0.0,45290.639956011604
2009-12-05,21131.159093121543,8436.139640847707,37006.78547170322,21131.159093121543,21131.159093121543,0.08533441432127781,0.08533441432127781,0.08533441432127781,-0.978550389435648,-0.978550389435648,-0.978550389435648,1.0638848037569257,1.0638848037569257,1.0638848037569257,0.0,0.0,0.0,22934.374178262813
2009-12-06,21140.000802115726,23516.58440411039,51817.85917649861,21140.000802115726,21140.000802115726,0.7532622296676407,0.7532622296676407,0.7532622296676407,-0.2598611598963144,-0.2598611598963144,-0.2598611598963144,1.013123389563955,1.013123389563955,1.013123389563955,0.0,0.0,0.0,37063.964941493134
2009-12-07,21148.84251110991,28374.33679017939,57890.62082276081,21148.84251110991,21148.84251110991,1.0647965963845678,1.0647965963845678,1.0647965963845678,0.11358457262928481,0.11358457262928481,0.11358457262928481,0.951212023755283,0.951212023755283,0.951212023755283,0.0,0.0,0.0,43668.058034413
2009-12-08,21157.684220104096,33101.90257702768,61928.95105175251,21157.684220104096,21157.684220104096,1.220407806796004,1.220407806796004,1.220407806796004,0.34179189745331706,0.34179189745331706,0.34179189745331706,0.8786159093426869,0.8786159093426869,0.8786159093426869,0.0,0.0,0.0,46978.687216043756
2009-12-09,21166.525929098283,28647.027163933857,57064.33687491968,21166.525929098283,21166.525929098283,1.0108674301545428,1.0108674301545428,1.0108674301545428,0.21484176143485575,0.21484176143485575,0.21484176143485575,0.7960256687196872,0.7960256687196872,0.7960256687196872,0.0,0.0,0.0,42563.077600345365
2009-12-10,21175.36763809247,32719.69500521118,60442.06107773193,21175.36763809247,21175.36763809247,1.231593734682078,1.231593734682078,1.231593734682078,0.5272453149995253,0.5272453149995253,0.5272453149995253,0.7043484196825527,0.7043484196825527,0.7043484196825527,0.0,0.0,0.0,47254.81775075679
2009-12-11,21184.209347086653,20602.021077132464,48734.82577345673,21184.209347086653,21184.209347086653,0.6456414702017501,0.6456414702017501,0.6456414702017501,0.040948002816834125,0.040948002816834125,0.040948002816834125,0.604693467384916,0.604693467384916,0.604693467384916,0.0,0.0,0.0,34861.61341500134
2009-12-12,21193.051056080836,-2930.161874765145,25544.544443616498,21193.051056080836,21193.051056080836,-0.48019751691216117,-0.48019751691216117,-0.48019751691216117,-0.97855038943533,-0.97855038943533,-0.97855038943533,0.49835287252316884,0.49835287252316884,0.49835287252316884,0.0,0.0,0.0,11016.200563158163
2009-12-13,21201.892765075027,9559.667706076545,38423.84945939749,21201.892765075027,21201.892765075027,0.126916133183508,0.126916133183508,0.126916133183508,-0.2598611598956475,-0.2598611598956475,-0.2598611598956475,0.3867772930791555,0.3867772930791555,0.3867772930791555,0.0,0.0,0.0,23892.755010989746
2009-12-14,21210.73447406921,15300.559517561154,42946.48039274442,21210.73447406921,21210.73447406921,0.3851321976542519,0.3851321976542519,0.3851321976542519,0.1135845726291976,0.1135845726291976,0.1135845726291976,0.27154762502505425,0.27154762502505425,0.27154762502505425,0.0,0.0,0.0,29379.671255928286
2009-12-15,21219.576183063396,17519.870751093094,46536.01798767012,21219.576183063396,21219.576183063396,0.4961349804459096,0.4961349804459096,0.4961349804459096,0.34179189745337896,0.34179189745337896,0.34179189745337896,0.15434308299253063,0.15434308299253063,0.15434308299253063,0.0,0.0,0.0,31747.350197718046
2009-12-16,21228.41789205758,11675.388306427505,41221.24885146635,21228.41789205758,21228.41789205758,0.2517482232055249,0.2517482232055249,0.2517482232055249,0.2148417614346885,0.2148417614346885,0.2148417614346885,0.03690646177083645,0.03690646177083645,0.03690646177083645,0.0,0.0,0.0,26572.634377847447
2009-12-17,21237.259601051766,16920.695508699442,44519.35438770514,21237.259601051766,21237.259601051766,0.44825271578511167,0.44825271578511167,0.44825271578511167,0.5272453149993093,0.5272453149993093,0.5272453149993093,-0.07899259921419767,-0.07899259921419767,-0.07899259921419767,0.0,0.0,0.0,30756.91889305666
2009-12-18,21246.101310045953,3908.4754007868905,32192.828688371326,21246.101310045953,21246.101310045953,-0.1506474630817878,-0.1506474630817878,-0.1506474630817878,0.04094800281633566,0.04094800281633566,0.04094800281633566,-0.19159546589812348,-0.19159546589812348,-0.19159546589812348,0.0,0.0,0.0,18045.430047308884
